naics,  Process Heating,  Machine Drive,  Process Cooling and Refrigeration,  Other Process Use,  Facility HVAC,  Other Nonprocess Use
31-33,0.66,0.1,0.03,0.08,0.11,0.03
3313,0.31,0.13,0,0.27,0.21,0.07
327310,0.45,0.06,0.01,0.16,0.27,0.06
325,0.67,0.1,0.03,0.08,0.09,0.04
334,0.16,0,0.01,0.07,0.73,0.04
335,0.16,0,0.01,0.07,0.73,0.04
332,0.35,0.01,0.01,0.16,0.46,0.02
311,0.69,0.04,0.05,0.08,0.1,0.03
312,0.69,0.04,0.05,0.08,0.1,0.03
321,0.7,0.09,0.02,0.05,0.09,0.04
322,0.7,0.09,0.02,0.05,0.09,0.04
3315,0.13,0.15,0,0.09,0.6,0.03
3272,0.05,0.05,0,0.22,0.63,0.05
3279,0.45,0.06,0.01,0.16,0.27,0.06
3311,0.46,0.07,0,0.08,0.38,0.01
3312,0.46,0.07,0,0.08,0.38,0.01
333,0.24,0.29,0.01,0.07,0.37,0.01
324110,0.66,0.16,0.02,0.1,0.04,0.02
326,0.71,0.01,0,0.07,0.18,0.03
313,0.63,0.02,0.02,0.1,0.21,0.02
314,0.66,0.1,0.03,0.08,0.11,0.03
315,0.66,0.1,0.03,0.08,0.11,0.03
316,0.66,0.1,0.03,0.08,0.11,0.03
336,0.27,0.02,0.07,0.09,0.53,0.02
323,0.66,0.1,0.03,0.08,0.11,0.03
324,0.66,0.1,0.03,0.08,0.11,0.03
327,0.66,0.1,0.03,0.08,0.11,0.03
331,0.66,0.1,0.03,0.08,0.11,0.03
337,0.66,0.1,0.03,0.08,0.11,0.03
339,0.66,0.1,0.03,0.08,0.11,0.03
3112,0.69,0.04,0.05,0.08,0.1,0.03
3114,0.69,0.04,0.05,0.08,0.1,0.03
3115,0.69,0.04,0.05,0.08,0.1,0.03
3116,0.69,0.04,0.05,0.08,0.1,0.03
3121,0.69,0.04,0.05,0.08,0.1,0.03
3122,0.69,0.04,0.05,0.08,0.1,0.03
3212,0.7,0.09,0.02,0.05,0.09,0.04
3219,0.7,0.09,0.02,0.05,0.09,0.04
3254,0.67,0.1,0.03,0.08,0.09,0.04
3314,0.66,0.1,0.03,0.08,0.11,0.03
3364,0.27,0.02,0.07,0.09,0.53,0.02
31131,0.69,0.04,0.05,0.08,0.1,0.03
311221,0.69,0.04,0.05,0.08,0.1,0.03
321113,0.7,0.09,0.02,0.05,0.09,0.04
321219,0.7,0.09,0.02,0.05,0.09,0.04
322110,0.7,0.09,0.02,0.05,0.09,0.04
322121,0.7,0.09,0.02,0.05,0.09,0.04
322122,0.7,0.09,0.02,0.05,0.09,0.04
322130,0.7,0.09,0.02,0.05,0.09,0.04
324121,0.66,0.1,0.03,0.08,0.11,0.03
324122,0.66,0.1,0.03,0.08,0.11,0.03
324199,0.66,0.1,0.03,0.08,0.11,0.03
325110,0.67,0.1,0.03,0.08,0.09,0.04
325120,0.67,0.1,0.03,0.08,0.09,0.04
325180,0.67,0.1,0.03,0.08,0.09,0.04
325193,0.67,0.1,0.03,0.08,0.09,0.04
325194,0.67,0.1,0.03,0.08,0.09,0.04
325199,0.67,0.1,0.03,0.08,0.09,0.04
325211,0.67,0.1,0.03,0.08,0.09,0.04
325212,0.67,0.1,0.03,0.08,0.09,0.04
325220,0.67,0.1,0.03,0.08,0.09,0.04
325311,0.67,0.1,0.03,0.08,0.09,0.04
325312,0.67,0.1,0.03,0.08,0.09,0.04
325412,0.67,0.1,0.03,0.08,0.09,0.04
325992,0.67,0.1,0.03,0.08,0.09,0.04
327120,0.45,0.06,0.01,0.16,0.27,0.06
327211,0.05,0.05,0,0.22,0.63,0.05
327212,0.05,0.05,0,0.22,0.63,0.05
327213,0.05,0.05,0,0.22,0.63,0.05
327215,0.05,0.05,0,0.22,0.63,0.05
327410,0.45,0.06,0.01,0.16,0.27,0.06
327420,0.45,0.06,0.01,0.16,0.27,0.06
327993,0.45,0.06,0.01,0.16,0.27,0.06
331110,0.46,0.07,0,0.08,0.38,0.01
331314,0.31,0.13,0,0.27,0.21,0.07
331315,0.31,0.13,0,0.27,0.21,0.07
331318,0.31,0.13,0,0.27,0.21,0.07
331410,0.31,0.13,0,0.27,0.21,0.07
331511,0.31,0.13,0,0.27,0.21,0.07
331523,0.31,0.13,0,0.27,0.21,0.07
331524,0.31,0.13,0,0.27,0.21,0.07
334413,0.24,0.29,0.01,0.07,0.37,0.01
336111,0.27,0.02,0.07,0.09,0.53,0.02
336112,0.27,0.02,0.07,0.09,0.53,0.02
336411,0.27,0.02,0.07,0.09,0.53,0.02
