State,Coal,Electricity,Natural Gas,Residual
AK,0.06,0,1.45,2.01
AL,0.62,0,1.65,6.09
AR,0.62,0,1.65,6.09
AZ,0.06,0,1.45,2.01
CA,0.06,0,1.45,2.01
CO,0.06,0,1.45,2.01
CT,0.57,0,0.48,4.71
DC,0.62,0,1.65,6.09
DE,0.62,0,1.65,6.09
FL,0.62,0,1.65,6.09
GA,0.62,0,1.65,6.09
HI,0.06,0,1.45,2.01
IA,0.56,-0.78,1.34,6.46
ID,0.06,0,1.45,2.01
IL,0.56,-0.78,1.34,6.46
IN,0.56,-0.78,1.34,6.46
KS,0.56,-0.78,1.34,6.46
KY,0.62,0,1.65,6.09
LA,0.62,0,1.65,6.09
MA,0.57,0,0.48,4.71
MD,0.62,0,1.65,6.09
ME,0.57,0,0.48,4.71
MI,0.56,-0.78,1.34,6.46
MN,0.56,-0.78,1.34,6.46
MO,0.56,-0.78,1.34,6.46
MS,0.62,0,1.65,6.09
MT,0.06,0,1.45,2.01
NC,0.62,0,1.65,6.09
ND,0.56,-0.78,1.34,6.46
NE,0.56,-0.78,1.34,6.46
NH,0.57,0,0.48,4.71
NJ,0.57,0,0.48,4.71
NM,0.06,0,1.45,2.01
NV,0.06,0,1.45,2.01
NY,0.57,0,0.48,4.71
OH,0.56,-0.78,1.34,6.46
OK,0.62,0,1.65,6.09
OR,0.06,0,1.45,2.01
PA,0.57,0,0.48,4.71
RI,0.57,0,0.48,4.71
SC,0.62,0,1.65,6.09
SD,0.56,-0.78,1.34,6.46
TN,0.62,0,1.65,6.09
TX,0.62,0,1.65,6.09
UT,0.06,0,1.45,2.01
VA,0.62,0,1.65,6.09
VT,0.57,0,0.48,4.71
WA,0.06,0,1.45,2.01
WI,0.56,-0.78,1.34,6.46
WV,0.62,0,1.65,6.09
WY,0.06,0,1.45,2.01
